Geography,Geography_type,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Albany,City,Weekly,10/11/20 0:00,Conventional,1.32017606,115594.77,5790.31,85707.36,41.58,19358.43,0,0,0,4697.09
Albany,City,Weekly,10/18/20 0:00,Conventional,1.087752878,105924.61,5720.02,77890.21,9.1,16583.35,0,0,0,5721.93
Albany,City,Weekly,10/25/20 0:00,Conventional,1.219199776,126229.61,5813.68,100094.51,19.94,15171.19,0,0,0,5130.29
Albany,City,Weekly,11/1/20 0:00,Conventional,1.407304835,118243.15,6178.33,90732.19,1.89,15334.44,0,0,0,5996.3
Albany,City,Weekly,11/8/20 0:00,Conventional,1.240652579,104049.68,4101.62,80446.5,25.04,16431.69,0,0,0,3044.83
Albany,City,Weekly,11/15/20 0:00,Conventional,1.389898332,128383.98,6319.43,98781.79,42.67,17761.49,0,0,0,5478.59
Albany,City,Weekly,11/22/20 0:00,Conventional,0.945943641,128831.99,6197.15,98539.65,29.37,19322.52,0,0,0,4743.3
Albany,City,Weekly,11/29/20 0:00,Conventional,0.950167657,95877.52,5233.72,71132.04,29.3,15544.55,0,0,0,3937.92
Albany,City,Weekly,12/6/20 0:00,Conventional,1.312320903,123672.59,6292.22,89332.5,31.99,22188.97,0,0,0,5826.91
Albany,City,Weekly,12/13/20 0:00,Conventional,0.965636694,122345.89,5643.87,91315.5,72.6,19638.14,0,0,0,5675.79
Albany,City,Weekly,12/20/20 0:00,Conventional,1.246676529,101742.76,6266.37,73312.73,25.52,18334.6,0,0,0,3803.54
Albany,City,Weekly,12/27/20 0:00,Conventional,1.081859049,93589.05,5808.19,66094.46,22.68,18188.13,0,0,0,3475.59
Albany,City,Weekly,1/6/20 0:00,Organic,1.761236356,1633.37,18.5,163.61,0,1347.56,0,0,0,103.71
Albany,City,Weekly,1/12/20 0:00,Organic,1.814664013,1760.97,24.14,175.8,0,1399.22,0,0,0,161.82
Albany,City,Weekly,1/19/20 0:00,Organic,1.765863457,1997.48,421.14,199.04,0,1156.77,0,0,0,220.53
Albany,City,Weekly,1/26/20 0:00,Organic,1.874649457,2189.29,114.69,233.99,0,1599.58,0,0,0,241.03
Albany,City,Weekly,2/2/20 0:00,Organic,1.867312548,1857.25,138.87,218.7,0,1329.49,0,0,0,170.19
Albany,City,Weekly,2/9/20 0:00,Organic,1.745878389,2860.31,56.17,412.13,5.11,2167.37,0,0,0,219.54
Albany,City,Weekly,2/16/20 0:00,Organic,1.764170364,2176.4,30.99,249.47,4.09,1756.36,0,0,0,135.5
Albany,City,Weekly,2/23/20 0:00,Organic,1.757375018,2117.03,33.22,246.34,0,1673.7,0,0,0,163.78
Albany,City,Weekly,3/1/20 0:00,Organic,1.712026988,3821.94,337.5,518.33,0,2697.55,0,0,0,268.56
Albany,City,Weekly,3/8/20 0:00,Organic,1.843681929,2603.04,42.56,381.99,0,1925.92,0,0,0,252.57
Albany,City,Weekly,3/15/20 0:00,Organic,1.817261447,2944.36,55.36,337.61,0,2318.93,0,0,0,232.46
Albany,City,Weekly,3/22/20 0:00,Organic,1.753616648,3012.08,64.6,318.5,0,2467.6,0,0,0,161.37
Albany,City,Weekly,3/29/20 0:00,Organic,1.734129459,1806.18,64.63,212.64,0,1474.75,0,0,0,54.17
Albany,City,Weekly,4/5/20 0:00,Organic,1.857481555,2871.82,121.48,417.11,0,2108.83,0,0,0,224.4
Albany,City,Weekly,4/12/20 0:00,Organic,1.905975516,3319.39,124.87,489.7,0,2362.4,0,0,0,342.42
Albany,City,Weekly,4/19/20 0:00,Organic,1.98018106,3273.4,87.9,720.77,0,2258.7,0,0,0,206.03
Albany,City,Weekly,4/26/20 0:00,Organic,1.857118547,3076.36,44.04,441.67,0,2400.08,0,0,0,190.56
Albany,City,Weekly,5/3/20 0:00,Organic,1.841024284,3224.97,79.7,401.28,0,2485.87,0,0,0,258.13
Albany,City,Weekly,5/10/20 0:00,Organic,1.891551085,3987.52,358.05,711.82,0,2720.01,0,0,0,197.64
Albany,City,Weekly,5/17/20 0:00,Organic,1.803850181,3138.98,198.9,349.17,0,2336.76,0,0,0,254.14
Albany,City,Weekly,5/24/20 0:00,Organic,1.891484512,3106.18,119.69,422.69,0,2228.74,0,0,0,335.05
Albany,City,Weekly,5/31/20 0:00,Organic,1.808389017,2911.52,113.46,362.68,1.02,2181.38,0,0,0,252.98
Albany,City,Weekly,6/7/20 0:00,Organic,1.913143713,3048.23,210.69,407.14,18.33,2102.11,0,0,0,309.96
Albany,City,Weekly,6/14/20 0:00,Organic,1.866072515,2441.11,45.73,299.83,0,1886.98,0,0,0,208.58
Albany,City,Weekly,6/21/20 0:00,Organic,1.833900718,2844.13,51.24,278.08,0,2279.19,0,0,0,235.62
Albany,City,Weekly,6/28/20 0:00,Organic,1.8695638,2718.89,36.61,335.5,6.11,2108.91,0,0,0,231.76
Albany,City,Weekly,7/5/20 0:00,Organic,1.810400449,2669.14,38.53,306.62,0,2117.3,0,0,0,206.7
Albany,City,Weekly,7/12/20 0:00,Organic,1.753904495,3280.29,24.01,321.9,0,2633.08,0,0,0,301.3
Albany,City,Weekly,7/19/20 0:00,Organic,1.853112616,3342.24,49.04,484.9,0,2480.92,0,0,0,327.38
Albany,City,Weekly,7/26/20 0:00,Organic,1.299951076,5515.53,56.24,411.56,0,4770.56,0,0,0,277.17
Albany,City,Weekly,8/2/20 0:00,Organic,1.356407574,3839.53,91.88,247.55,0,3191.06,0,0,0,309.04
Albany,City,Weekly,8/9/20 0:00,Organic,2.131008371,2105.53,22.21,647.93,0,1263.49,0,0,0,171.91
Albany,City,Weekly,8/16/20 0:00,Organic,1.818331235,2877.47,43.29,520.31,0,2157.41,0,0,0,156.46
Albany,City,Weekly,8/23/20 0:00,Organic,1.765967372,3109.12,22.04,504.42,0,2379.84,0,0,0,202.83
Albany,City,Weekly,8/30/20 0:00,Organic,1.661483632,3287,29.73,438.15,0,2587.31,0,0,0,231.8
Albany,City,Weekly,9/6/20 0:00,Organic,1.750830202,2784.28,25.44,354.59,0,2105.79,0,0,0,298.45
Albany,City,Weekly,9/13/20 0:00,Organic,1.749032953,2657.97,34.67,397.41,0,1978.64,0,0,0,247.26
Albany,City,Weekly,9/20/20 0:00,Organic,1.900468366,2010.43,63.14,412.7,0,1387.78,0,0,0,146.81
Albany,City,Weekly,9/27/20 0:00,Organic,1.87884987,2252.66,64.41,351.57,0,1616.47,0,0,0,220.21
Albany,City,Weekly,10/4/20 0:00,Organic,1.76053,2321.32,46.39,304.7,0,1776.1,0,0,0,194.13
Albany,City,Weekly,10/11/20 0:00,Organic,1.729652481,2439.54,40.33,331.21,0,1894.16,0,0,0,173.85
Albany,City,Weekly,10/18/20 0:00,Organic,1.72837211,2700.71,78.39,358.74,0,2060.41,0,0,0,203.17
Albany,City,Weekly,10/25/20 0:00,Organic,1.725686886,2289.1,156.33,355.37,0,1639.29,0,0,0,138.12
Albany,City,Weekly,11/1/20 0:00,Organic,1.680030979,2676.3,119.95,390.86,0,1994.54,0,0,0,170.95
Albany,City,Weekly,11/8/20 0:00,Organic,1.658011725,2504.67,55.08,285.76,0,2010.26,0,0,0,153.57
Albany,City,Weekly,11/15/20 0:00,Organic,1.720214216,2809.84,79.15,376.67,0,2193.68,0,0,0,160.33
Albany,City,Weekly,11/22/20 0:00,Organic,1.646561264,2442.42,45.86,283.36,1.02,1979.86,0,0,0,132.32
Albany,City,Weekly,11/29/20 0:00,Organic,1.675158102,2003.74,35.99,242.57,0,1638.26,0,0,0,86.93
Albany,City,Weekly,12/6/20 0:00,Organic,1.624353622,2663.89,39.05,336.96,0,2167.89,0,0,0,120
Albany,City,Weekly,12/13/20 0:00,Organic,1.778653675,2318.49,61.49,437.06,0,1717.36,0,0,0,102.58
Albany,City,Weekly,12/20/20 0:00,Organic,1.732272969,2438.07,38.27,337.96,0,1928.2,0,0,0,133.63
Albany,City,Weekly,12/27/20 0:00,Organic,1.646241977,2599.32,47.44,402.27,8.17,1936.03,0,0,0,205.41
Albany,City,Weekly,1/4/21 0:00,Conventional,1.23736812,161850.33,7225.73,130204.01,76.41,19476.68,16623.19,2633.4,0,4867.5
Albany,City,Weekly,1/4/21 0:00,Organic,1.611081563,2726.21,57.84,391.37,10.21,2117.76,2049.18,0,0,149.03
Albany,City,Weekly,1/10/21 0:00,Conventional,1.24970396,139381.5,7066.68,98488.83,31.19,28933.96,25932.01,2753.1,0,4860.84
Albany,City,Weekly,1/10/21 0:00,Organic,1.456758223,3811.16,54.44,411.4,0,3166.28,2461.8,0,0,179.03
